pde_loss,bc_loss,total_loss
0.03178945556282997,0.006338662933558226,0.0951760858297348
0.03158494457602501,0.004304287955164909,0.0746278241276741
0.02675911784172058,0.0077898274175822735,0.10465738922357559
0.0268829558044672,0.006316833198070526,0.09005128592252731
0.031128231436014175,0.004955585114657879,0.08068408071994781
0.03365010395646095,0.006342242006212473,0.0970725268125534
0.029156191274523735,0.0038378345780074596,0.06753453612327576
0.026489512994885445,0.008743604645133018,0.11392556130886078
0.02660864219069481,0.00890179630368948,0.11562660336494446
0.030122391879558563,0.004931390751153231,0.0794363021850586
0.03472086787223816,0.004745729733258486,0.08217816054821014
0.030745772644877434,0.0058089615777134895,0.08883538842201233
0.026653295382857323,0.003761343890801072,0.06426673382520676
0.026621421799063683,0.008731851354241371,0.11393993347883224
0.028733156621456146,0.006210044492036104,0.09083360433578491
0.031708620488643646,0.00560733349993825,0.08778195083141327
0.030728699639439583,0.005223365034908056,0.08296234905719757
0.02792799286544323,0.00488152913749218,0.07674328237771988
0.026323065161705017,0.00357265817001462,0.06204964593052864
0.029021266847848892,0.008836783468723297,0.11738909780979156
0.029764657840132713,0.006494756788015366,0.09471222758293152
0.029117470607161522,0.005003933794796467,0.07915680855512619
0.027696678414940834,0.005232212133705616,0.0800187960267067
0.027145057916641235,0.004703104496002197,0.07417610287666321
0.027881553396582603,0.0036089601926505566,0.0639711543917656
0.028552329167723656,0.007173890247941017,0.10029122978448868
0.028496671468019485,0.006799809634685516,0.09649476408958435
0.02722889743745327,0.0031819804571568966,0.05904870480298996
0.02688649296760559,0.002784049604088068,0.054726988077163696
0.02819148264825344,0.007185542490333319,0.10004691034555435
0.02865014597773552,0.005791321396827698,0.0865633636713028
0.027897411957383156,0.003855600953102112,0.06645341962575912
0.026504775509238243,0.0036507886834442616,0.06301265954971313
0.026431584730744362,0.005567650776356459,0.08210809528827667
0.027180243283510208,0.004453305620700121,0.07171329855918884
0.0281628780066967,0.00484180822968483,0.0765809565782547
0.027667326852679253,0.004448562394827604,0.07215294986963272
0.026640484109520912,0.0042778863571584225,0.06941934674978256
0.026192862540483475,0.003540386911481619,0.06159673258662224
0.02747405879199505,0.005908827763050795,0.08656233549118042
0.027850838378071785,0.005357728339731693,0.08142811805009842
0.027245525270700455,0.003398100147023797,0.06122652813792229
0.026413625106215477,0.0031612569000571966,0.05802619457244873
0.02690509706735611,0.005788043141365051,0.08478552848100662
0.027210798114538193,0.005180343985557556,0.07901424169540405
0.027062637731432915,0.0033086983021348715,0.06014961749315262
0.02663550339639187,0.003067496931180358,0.057310473173856735
0.0266957376152277,0.0053035118617117405,0.07973085343837738
0.026844920590519905,0.004670304246246815,0.07354795932769775
